FID,ArrestID,Arrest_Dat,ArrestTime,streetnbr,street,city,state,zip,Name_ID,age,race,sex,Team,Beat,X,Y,recblock,charge,x2,y2
1,59916,7/26/15,254,29,MAGNOLIA RD/TALL OAK AVE,CHARLESTON,SC,29407,157815,27,B,M,T4,425,2311413.5,346924.91, ,SIMPLE POSS MARIJUANA 1ST,,
2,63352,12/15/15,2320,1,SPRING ST/MEETING ST,CHARLESTON,SC,29403,28389,62,B,M,T1,122,2325981.75,351230.28, ,OPEN CONTAINER ALCOHOL,,
3,59917,7/26/15,327,0,SC30/CALHOUN ST RAMP,CHARLESTON,SC,29401,330070,21,W,M,T2,224,2322320.5,346668.19, ,DUI 2ND,,
4,63353,12/16/15,47,0,MAIN RD/CHISOLM RD,CHARLESTON COUNTY,SC,29455,39583,20,B,M,T4,433,2274725.5,345153.09, ,PWID/MANUF COCAINE,,
5,59919,7/26/15,947,98,HANOVER ST/LEE ST,CHARLESTON,SC,29403,172212,13,B,M,T1,125,2325832.75,353010.72, ,PETIT LARCENY,,
6,63355,12/16/15,323,645,MEETING ST,CHARLESTON,SC,29403,341071,30,W,M,T1,129,2323742.25,355117.97, ,PUBLIC INTOXICATION,,
7,59921,7/26/15,1233,7,AIKEN ST,CHARLESTON,SC,29403,322957,58,B,M,T1,124,2326691.25,351842.97, ,OPEN CONTAINER ALCOHOL,,
8,63357,12/15/15,1745,3841,LEEDS AVE,NORTH CHARLESTON,SC,29405,159458,20,W,M, , ,0,0, ,DUS 1ST,,
9,59922,7/26/15,945,328,MEETING ST,CHARLESTON,SC,29403,286897,53,W,M,T1,123,2327455.75,348774.94, ,TRESPASSING,,
10,63358,12/16/15,1126,1942,BOEING AVE,CHARLESTON,SC,29407,222716,19,W,M,T4,421,2299356,346145.22, ,CRIMES AGAINST FED CHARTERED OR INSURED FINANCIAL INS,,
11,59923,7/26/15,1317,128,E BAY ST/GILLON ST,CHARLESTON,SC,29401,306681,31,W,M,T2,222,2329784,345080.34, ,PUBLIC INTOXICATION,,
12,63360,12/16/15,1341,180,LOCKWOOD DR,CHARLESTON,SC,29403,24105,31,B,M,T1,128,2319581.25,349133.84, ,CSC W/MINOR - 3RD DEGREE,,
13,59924,7/26/15,1334,200,HUGER ST/MORRISON DR,CHARLESTON,SC,29403,283560,57,B,M,T1,125,2325506,354775.84, ,OPEN CONTAINER ALCOHOL,,
14,63361,12/16/15,1424,7749,PINEHURST RD,NORTH CHARLESTON,SC,29405,299844,16,B,M, , ,0,0, ,SIMPLE ASSAULT,,
15,59925,7/26/15,1315,12,AIKEN ST/COLUMBUS ST,CHARLESTON,SC,29403,22802,64,B,M,T1,124,2326676.75,351945.16, ,OPEN CONTAINER ALCOHOL,,
16,63362,12/16/15,1312,735,KING ST,CHARLESTON,SC,29403,78219,39,B,M,T1,126,2323080.5,353354.22, ,PUBLIC INTOXICATION,,
17,59926,7/26/15,905,1175,FOLLY RD,CHARLESTON,SC,29412,83183,20,W,F,T3,322,2317389.5,325638.97, ,"PROPERTY CRIME ENHANCEMENT, F",,
